t	RE_E	IM_E	RE_P	IM_P	Alpha
452	-8.346976364549498e-06	0.0017213971786934235	-1.6008736123013878	-0.026512928485849213	930.037849280667
453	-7.559439311986837e-06	0.0016092451308537309	-1.543537763522738	0.0035810623145595497	959.1372081299364
454	-6.715805966757429e-06	0.0015038103556447664	-1.493065083791995	-0.027739051673805006	992.9172102569747
455	-5.822994723003688e-06	0.0014047267332878267	-1.3929221174728426	-0.08541334104917764	991.8315117193936
456	-4.888277379987806e-06	0.0013116447271413088	-1.250613956569071	-0.10388859806682971	953.7519807149295
457	-3.9192198413497e-06	0.0012242309341257919	-1.1283348500827897	-0.06243431742998362	921.8221237238574
458	-2.9236208288704433e-06	0.0011421676282139565	-1.071050791324326	-0.00866590740895666	937.7484787146194
459	-1.9094491067476856e-06	0.001065152298243489	-1.0547603734097142	-0.003641816534695195	990.2466661990796
460	-8.847797212678326e-07	0.0009928971812568975	-1.01407483618146	-0.05188710479915341	1021.3749088111592
461	1.4227023488510786e-07	0.000925128792519059	-0.9170557227937707	-0.09658420525822756	991.2574934348295
462	1.1636058240112756e-06	0.0008615874533141638	-0.8013100126010865	-0.08505394434599502	929.9040737814375
463	2.1712179243231916e-06	0.0008020268175775296	-0.730226476132229	-0.029108787944429462	910.3714574808714
464	3.157245851605898e-06	0.0007462133983730953	-0.7199506252920488	0.00882230129952484	964.8380283000427
465	4.1140384547079364e-06	0.0006939260951863406	-0.7209155966648887	-0.012530696348439889	1038.7503451267005
466	5.0342132125943055e-06	0.000644955722962813	-0.6747656575147779	-0.0661570077356254	1045.3557770669463
467	5.910712879769225e-06	0.0005991045437843124	-0.5810290581455144	-0.08813008597118555	968.2836082935597
468	6.736859249070219e-06	0.0005561858020392017	-0.4971107528668558	-0.05107636219548502	892.5421162499997
469	7.506403626304175e-06	0.0005160232639078373	-0.47199827811071465	0.004653458071573767	914.6217487797273
470	8.213573639578983e-06	0.00047845076195092884	-0.4900023223294868	0.017573674663672868	1024.4723087293153
471	8.85311603757215e-06	0.00044331174555462655	-0.4889198978758433	-0.024401726354327025	1101.3420526798586
472	9.420335164649797e-06	0.00041045883795496675	-0.4313874193338973	-0.07041527838979736	1046.4997694534848
473	9.91112683673629e-06	0.0003797534005301227	-0.34738238453772863	-0.06530298240615304	909.6501915072237
474	1.0322007379780354e-05	0.00035106510501911397	-0.29934962426619466	-0.01283033137539822	850.8796563937696
475	1.0650137632081472e-05	0.0003242715142905796	-0.3103400238470386	0.028939075462436376	958.9342353910322
476	1.0893341752632779e-05	0.00029925767225500127	-0.33769214657463986	0.014453404001541114	1128.6952243622382
477	1.1050120719304266e-05	0.00027591570347906754	-0.3221496963567236	-0.03722504740841867	1160.301440818248
